mets,metNames,metID,metFormulas,metCharges,metKEGGID,metHMDBID,b
acmana[c],"N-acetyl-D-mannosamine",cpdAGORA0643,C8H15NO6,0,C00645,HMDB01129,0
acmanap[c],"N-acetyl-D-mannosamine 6-phosphate(2-)",cpdAGORA0644,C8H14NO9P,-2,C04257,HMDB01121,0
acnam2a6agal[e],"Alpha-2,6-N-acetylneuraminate-N-acetylgalactosamine",cpdAGORA0645,C19H31N2O14,-1,G00455,,0
acnam[c],"N-acetylneuraminate",cpdAGORA0646,C11H18NO9,-1,C19910,HMDB00230,0
acnam[e],"N-acetylneuraminate",cpdAGORA0647,C11H18NO9,-1,C19910,HMDB00230,0
acorn[c],"N(2)-acetyl-L-ornithine",cpdAGORA0648,C7H14N2O3,0,C00437,HMDB03357,0
acser[c],"O-Acetyl-L-serine",cpdAGORA0649,C5H9NO4,0,,,0
actACP[c],"Acetoacetyl-ACP",cpdAGORA0650,C15H25N2O9PRS,-1,,,0
actn_R[c],"(R)-Acetoin",cpdAGORA0651,C4H8O2,0,,,0
actn_S[c],"(S)-Acetoin",cpdAGORA0652,C4H8O2,0,,,0
actp[c],"Acetyl phosphate",cpdAGORA0653,C2H3O5P,-2,,,0
ade[c],"Adenine",cpdAGORA0654,C5H5N5,0,C00147,HMDB00034,0
adn[c],"Adenosine",cpdAGORA0655,C10H13N5O4,0,C00212,HMDB00050,0
adocbi[c],"Adenosyl cobinamide",cpdAGORA0656,C58H84CoN16O11,1,,,0
adocbip[c],"Adenosyl cobinamide phosphate",cpdAGORA0657,C58H83CoN16O14P,-1,,,0
adocbl[c],"Adenosylcobalamin",cpdAGORA0658,C72H100CoN18O17P,0,C00194,HMDB02086,0
adocbl[e],"Adenosylcobalamin",cpdAGORA0659,C72H100CoN18O17P,0,C00194,HMDB02086,0
adp[c],"ADP",cpdAGORA0660,C10H12N5O10P2,-3,C00008,HMDB01341,0
adpglc[c],"ADP alpha-D-glucoside(2-)",cpdAGORA0661,C16H23N5O15P2,-2,C00498,HMDB06557,0
agal1b3agal[e],"Beta-1,3-N,N-diacetylgalactosamine",cpdAGORA0662,C16H28N2O11,0,G01033,,0
agal1b6agal[e],"Beta-1,6-N,N-diacetylgalactosamine",cpdAGORA0663,C16H28N2O11,0,,,0
agam1b3agal[e],"Beta-1,3-N-acetylglucosamine-N-acetylgalactosamine",cpdAGORA0664,C16H28N2O11,0,G00543,,0
agam1b6agal[e],"Beta-1,6-N-acetylglucosamine-N-acetylgalactosamine",cpdAGORA0665,C16H28N2O11,0,G02165,,0
agdpcbi[c],"Adenosine-GDP-cobinamide",cpdAGORA0666,C68H95CoN21O21P2,-1,,,0
agm[c],"agmatinium(2+)",cpdAGORA0667,C5H16N4,2,C00179,HMDB01432,0
ahcys[c],"S-Adenosyl-L-homocysteine",cpdAGORA0668,C14H20N6O5S,0,C00021,HMDB00939,0
ahdt[c],"7,8-dihydroneopterin 3-triphosphate(4-)",cpdAGORA0669,C9H12N5O13P3,-4,C04895,HMDB00980,0
ai17tca1[c],"Anteisoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted",cpdAGORA0670,C121H236O135P24,-24,,,0
